Date,         time,  Actual_kW,   Pred_RF_kW,       Pred_GB_kW
2025-01-28 04:00:00,0.0102,0.0124113333333333,0.0110336251511399,
2025-01-02 15:00:00,0.23,0.2048039999999998,0.2165511637963518,
2025-01-25 13:00:00,0.1425,0.1449866666666668,0.1372551674381396,
2025-01-13 19:00:00,0.3144,0.2807473333333332,0.3088240928923077,
2025-01-29 07:00:00,0.4925,0.4691459999999998,0.4714084814493919,
2025-01-03 18:00:00,0.2701,0.2750319999999996,0.2770275792437683,
2025-01-12 11:00:00,0.2784,0.3105619999999998,0.2852063844197894,
2025-01-03 19:00:00,0.0544,0.05125,0.0577870353003962,
2025-01-14 06:00:00,0.0716,0.0816593333333333,0.078655709715752,
2025-01-23 20:00:00,0.0274,0.0290159999999999,0.030923565213393,
2025-02-11 14:00:00,0.5472,0.5275259999999999,0.5333159648393303,
